2018-04-23 20:18:46	admissions	Yes. Citizens of all nations are welcome to apply, and admission is 'need blind.' Students are chosen based on their academic potential and qualifications, according to the same standards - including non-discrimination standards - that govern admission to NYU's campus in New York. Economic background and nationality do not influence our admission decision	100.5910931174089	{'admiss': 42.526315789473685, 'admission': 42.526315789473685, 'admissions': 15.538461538461538}
2018-04-23 20:18:58	something else	I'd rather talk about something else, sorry	504.99999999999994	{'someth': 67.33333333333333, 'els': 101.0, 'something': 134.66666666666666, 'else': 202.0}
 	 	 	 	 	 
2018-04-26 04:17:02	katarina	what are you	Our aim is to attract the best possible students regardless of financial circumstances. If you are admitted, our priority is to work with you and your family to make it possible for you to attend. NYU Abu Dhabi's Office of Financial Support will tailor the University's generous financial assistance programs to your individual needs. Financial support will ensure that the cost of attendance does not require you or your family to take on debt to support the cost of your education at NYU Abu Dhabi. Your family's finances should not affect your decision to select NYU Abu Dhabi, even if you are considering low- or no-cost public education alternatives or are the recipient of generous financial assistance from another institution. In addition, financial support from NYU Abu Dhabi will apply not only to the cost of attendance, but also to many activities and opportunities available to NYU Abu Dhabi students	95.41152597402598	{'what': 15.974025974025974, 'are': 38.4375, 'you': 41.0}
2018-04-26 04:17:36	katarina	what can i ask you about	You can ask me about campus life, admissions, NYU and Abu Dhabi. I probably won't be able to answer all your questions, but you can always check our website at nyuad.nyu.edu	1570.5657975309114	{'what': 7.987012987012987, 'can': 59.22222222222222, 'i': 22.77777777777778, 'ask': 40.41843971631206, 'you': 24.599999999999998, 'about': 31.810344827586203}
2018-04-26 04:17:57	katarina	tell me more about the majors	NYU Abu Dhabi residential colleges are divided into three buildings, where the floors are separated by gender. There are also designated areas within the residential colleges dedicated to non-visitation community, where individuals of the opposite sex are not permitted entry. Each floor has an assigned Resident Assistant (RA) to promote education, health, and safety and community development. Students are assigned either single or double (shared) bedroooms within each dorm. 	1236.6449697973762	{'tell': 107.00549450549451, 'me': 76.875, 'more': 89.6875, 'about': 21.206896551724135, 'the': 19.37007874015748}
 	 	 	 	 	 
2018-04-26 04:20:06	margarita	my margarita	My name is Margarita	265.98	{'my': 10.23, 'margarita': 255.75}
2018-04-26 04:20:12	margarita	hello	Hello	1023.0	{'hello': 1023.0}
2018-04-26 04:20:16	margarita	how are you	I completely love this class	77.54298504608101	{'how': 17.947368421052634, 'are': 55.29729729729729, 'you': 4.298319327731092}
2018-04-26 04:20:25	margarita	what can i talk to you about	You can talk to me about music, my university or my life in general	4380.508433284409	{'what': 6.959183673469388, 'can': 131.15384615384616, 'i': 9.174887892376681, 'talk': 71.04166666666667, 'to': 12.867924528301888, 'you': 8.596638655462185, 'about': 48.71428571428572}
2018-04-26 04:20:37	margarita	tell me about music	Probably yes. But what I can tell you for sure is that I am really affectionate	139.64761904761906	{'tell': 139.64761904761906}
2018-04-26 04:20:49	margarita	well it seems like you aren't supposed to rub it off	I need roughly an hour, but I can also do it in 30 mins if I don't feel like looking good	183.38543398233418	{'well': 18.6, 'it': 61.187025534851614, 'seem': 68.2, 'like': 24.666126855600538, 'you': 4.298319327731092, 'to': 6.433962264150944}
2018-04-26 04:21:05	margarita	what would you like to change	I like to squeeze orange juice with the little plastic bowl-thingie, not a machine	1077.1654341394337	{'you': 4.298319327731092, 'like': 36.99919028340081, 'to': 12.867924528301888}
2018-04-26 04:21:18	margarita	something is off i kind of do the side	I like different kinds of sushi, but mostly the ones with salmon	422.3863694944381	{'i': 9.174887892376681, 'kind': 371.44642857142856, 'of': 23.517241379310345, 'do': 11.472977214236394, 'the': 6.774834437086094}
 	 	 	 	 	 
2018-04-26 04:22:48	margarita	tell me about music	Probably yes. But what I can tell you for sure is that I am really affectionate	139.64761904761906	{'tell': 139.64761904761906}
 	 	 	 	 	 
2018-04-26 04:28:28	margarita	hello	Hello	1023.0	{'hello': 1023.0}
2018-04-26 04:28:34	margarita	what can i talk to you about	You can talk to me about music, my university or my life in general	239.794147570123	{'what': 6.959183673469388, 'can': 131.15384615384616, 'i': 9.174887892376681, 'talk': 71.04166666666667, 'to': 12.867924528301888, 'you': 8.596638655462185}
2018-04-26 04:28:43	margarita	tell me about music	My favorite ones so far are Music Theory, Music Technology and Private Composition Instruction	77.72079772079772	{'music': 77.72079772079772}
2018-04-26 04:28:56	margarita	what about music in your life	Wonder Woman because I always wonder what I should do next with my life	215.56740580847725	{'what': 13.918367346938776, 'your': 9.836538461538462, 'life': 191.8125}
2018-04-26 04:29:06	margarita	do you play any instruments	I play the piano, flute, a little bit of cello and ukulele	652.6793551500261	{'do': 11.472977214236394, 'you': 4.298319327731092, 'play': 39.34615384615384, 'ani': 45.46666666666667, 'instrument': 284.1666666666667, 'any': 97.42857142857143, 'instruments': 170.5}
2018-04-26 04:29:15	margarita	how many languages do you speak	Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university	466.4107477844733	{'how': 17.947368421052634, 'mani': 75.77777777777777, 'languag': 48.71428571428571, 'do': 5.736488607118197, 'you': 4.298319327731092, 'speak': 68.19999999999999, 'many': 151.55555555555554, 'language': 48.71428571428571, 'languages': 45.46666666666667}
